,Title,Content
0,Lost Shihtzu Near Fairfax High School,A house guest left the door open and my Shihtzu wandered off. She is female brown and white 5 years old. Slightly matted in the face. I would really like to have her back.    
1,LOST PRESCRIPTION GLASSES,LOST my prescription glasses inside the Target West Hollywood store.  Nobody turned them into the store lost and found.  They are translucent/charcoal Garrett Leight (GLCO) frames.  I desperately need these glasses back so I can see.  Please let me know if you found them or saw them.  Please email.    
2,REWARD!! LOST: Cockatiel,"My pet parrot/bird, Blanche, accidentally flew out of my home on 11/30 near Robertson & Olympic Blvd & was spotted on 12/1 near Crescent Heights & Pico.  She is tame & friendly. If you see/hear her call her by name and offer her food.  She loves chips, crackers or popcorn.  Once she's down slowly & gently toss a blanket, towel of t-shirt over her and call me.  I will rush over.  I'm offering a reward for her safe return.  

Please and thank you!    "
3,Lost Samsung S10 mobile phone,"My sis lost her metallic blue Samsung S10 phone either outside #MashtiMalone Ice Cream store; or along the way to #Marshalls #Hollywood. The phone is with a transparent phone cover, a kanji white sticker behind and her phone wallpaper is Seventeen’s Minggyu. All help most appreciated 🙏 Kindly do call  show contact info
 if you find it.

*If you do find it, kindly send a picture of the phone so that I know that it’s the right one. Thank you.    "
4,Found Cat - White & Gray,"Hi!

I found this sweet kitty cat. He is white with grey / gray on his tail, spot on one side, and top of head. Male, neutered, not chipped. Super friendly and affectionate. Please text or email with pictures if he might be yours!    "
5,"Stolen Pietro Psaier Original Art ""King of Hearts"" Painting","Stolen Pietro Psaier Original Art ""King of Hearts"" Painting from
Nick Metropolis Collectible Furniture Store in Los Angeles, California 
100 South La Brea Ave, Los Angeles, CA 90036

OWNER ""NICK"" SAID IT WAS LOST THEN CALED TO TELL ME 
BOTH THE PAINTING AND ALL MY PAPER WORK
WERE MISSING AS WELL REFUSED TO OFFER ME ANYTHING 
AND OR MAKE A POLICE REPORT 

REWARD NO QUESTIONS ASKED
323- 360 45 60    "
6,FOUND: One TREK Navigator 300 Bike,"Someone left a blue and silver TREK branded bike in the passageway beside our house two nights ago. If you have lost or had your bike stolen, please contact me so we can return it to you!    "
7,+Lost & Found Cats & Dogs Database+,Female Airedale last seen Mount Prospect. Please let me know if you see her.    
8,Lost Dog Help Lost Cat Help Lost Pet Help since Monday,"Haven't seen Greyskull since Monday, October 11th. Grey all over with beautiful green eyes. Could be stuck in garage or shed. No collar and is shy.    "
9,Stolen 1965 / 1966 Red Ford Mustang,"Stolen 1965 / 1966 Mustang 289
Lic Plate: RKN1966

Red Color / Black Pony Interior ::
Cragar wheels / GT Hood Scoop /

Make - Ford
Model - Mustang
Year - 1966
Color(s) - Red
License - RKN1966
VIN - 6R07C114501
text 323 360 45 60

Cash $$$ Reward with information /    "
10,Stolen 1965 / 1966 Red Ford Mustang,"Stolen 1965 / 1966 Mustang 289
Lic Plate: RKN1966

Red Color / Black Pony Interior ::
Cragar wheels / GT Hood Scoop /

Make - Ford
Model - Mustang
Year - 1966
Color(s) - Red
License - RKN1966
VIN - 6R07C114501
text 323 360 45 60

Cash $$$ Reward with information /    "
11,LOST DOG OR CATS? Report Here,"Our baby is still missing! Please help us find our pet parakeet. His name is Johnson, and he is a year and half old. He has a teal blue stomach with black and white on his wings, and a white letter ""T"" on the back of his head. He flew out of my parents' home around 12pm on 11/28/21 toward a wooded area behind Robbins Bluff Road in San Antonio when we were dealing with a kitchen emergency. We are praying for a miracle that he will come back or that someone will find him and turn him in. I have posted in different groups, and different websites. My son is distraught over losing him. Please contact me if you find our bird. Please also if you do see him, please try to catch him. Thank you so much.    "
12,LOST DOG OR CATS? Report Here,"Our baby is still missing! Please help us find our pet parakeet. His name is Johnson, and he is a year and half old. He has a teal blue stomach with black and white on his wings, and a white letter ""T"" on the back of his head. He flew out of my parents' home around 12pm on 11/28/21 toward a wooded area behind Robbins Bluff Road in San Antonio when we were dealing with a kitchen emergency. We are praying for a miracle that he will come back or that someone will find him and turn him in. I have posted in different groups, and different websites. My son is distraught over losing him. Please contact me if you find our bird. Please also if you do see him, please try to catch him. Thank you so much.    "
13,LOST DOG OR CATS? Report Here,"Our baby is still missing! Please help us find our pet parakeet. His name is Johnson, and he is a year and half old. He has a teal blue stomach with black and white on his wings, and a white letter ""T"" on the back of his head. He flew out of my parents' home around 12pm on 11/28/21 toward a wooded area behind Robbins Bluff Road in San Antonio when we were dealing with a kitchen emergency. We are praying for a miracle that he will come back or that someone will find him and turn him in. I have posted in different groups, and different websites. My son is distraught over losing him. Please contact me if you find our bird. Please also if you do see him, please try to catch him. Thank you so much.    "
14,LOST DOG OR CATS? Report Here,"Our baby is still missing! Please help us find our pet parakeet. His name is Johnson, and he is a year and half old. He has a teal blue stomach with black and white on his wings, and a white letter ""T"" on the back of his head. He flew out of my parents' home around 12pm on 11/28/21 toward a wooded area behind Robbins Bluff Road in San Antonio when we were dealing with a kitchen emergency. We are praying for a miracle that he will come back or that someone will find him and turn him in. I have posted in different groups, and different websites. My son is distraught over losing him. Please contact me if you find our bird. Please also if you do see him, please try to catch him. Thank you so much.    "
15,Lost Labradoodle!,"Lost dog her name is Paris, she needs her medications, she get seizures! Please help us bring her home    "
16,Tesla key card,I found a Tesla key card by the lake. Are you the one that lost it?    
17,Runyon keys found,North entrance Runyon Canyon lost and found    
18,found a mans wallet,i found your wallet and it has an id 100 dollars to claim it send your pic serious and real people only    
19,Lost Yorkshire Terrier /  Yorkie / Small Dog,"Our dog, Charlie was lost on Sunday, 11/28/21 around 8:30 pm near the intersection of National and Sawtelle Blvd. She is 6 years old and 4 1/2 pounds with multi-colored reddish brown and black hair. She is timid, barky and makes a grunting noise. She was scheduled for a dental appointment this week. She is very loved and is a treasured part of our family. Please call if you see her  show contact info
.    "
20,LOST MY PUPPY! PLEASE HELP! REWARD!,"My puppy was last seen at 10330 Calvin Ave,90025 on November 29 at 2:30 pm. He is half Poodle, half great Pyrenees. Weighs about 60lbs.  Please contact me if you know anything about where he might be.

Big Reward for anyone who can get him back to me.    "
21,Lost Dog,"I am in search of my families missing poodle , he is white with no collar. His name is snow I beg of you if you have any information please contact me at your earliest convenience thank you so much I truly appreciate you our lives have not been the same since he’s been gone🥲🙏🙏🙏🙏🙏🥲💔 Hometown:  Los Ángeles    "
22,1997 monterey beaver stolen,"Our 1997 Monterey Beaver was stolen from our car lot located on 11216 1/2  Burbank Boulevard, NORTH HOLLYWOOD, CA 91601 on November 27th at about 6am. If you have seen it or have any information on where it could be, please do not hesitate to give us at phone call at  show contact info
.

vin: 4slb6bn21v1109095
plate: 8lgj398    "
23,FOUND SCHWINN BIKE,"I found a Shwinn Bike this morning along with some tires on S. Westgate.
Please message me with details about this bike and I will either deliver to you or meet you at the police station.
Thanks.    "
24,Lost denture,"Lost 12/01 in park around 11:30am
Name is on denture. I’m from central CA. Please contact if found. Thank you    "
25,LOST DOG German Shepherd,"Lost dog! Beige/Black German Shepherd 4 years old. Reward offered!
Please call 818-821-zero zero two one    "
