,Title,Content
0,lost black kitten,7 to 9 month black kitten has shown up.    
1,LOST SD/MEMORY CARD,"Hi, I know this is a long shot but I lost my memory card in Lafayette near the army recruiter office/mccallisters area. Maybe even at healthy horizons pediatrics. It contains some very precious memories including my daughters first birthday. If you know of someone who found a memory card please contact me.    "
2,*** Lost abandoned cat ***,"I rehomed 2 cats last year to a family as barn cats, they were former ferals that lived at my jobsite, they were not safe at my work, and had tamed down really well, ( at least to me )  so I had them both neutered, rabies shot, and ears tipped ( just one ear to show they had been part of TNR program )  they were both male, one adult, and one around 7 months old, ( father/son bonded )  the father returned to my jobsite 30 miles in 3 weeks time,  I never saw the younger male, I contacted family I had given them to, and they were unsure if younger male was still there, I went there 2x looking for him, and calling, and saw no signs of him, they I found out family sold farm in early summer, and when I messaged them to see if they still had him, or took him, I got no response,  I know this is incredible longshot, but I am going to try to find him,  farm he went to was between Rossville, and Russiaville,  right off of 26 east, the pics I am putting on here were of him around 6 or 7 months old, again he would be a bit bigger now, and one ear would be tipped,  he may be feral/semi feral,  if you have seen him anywhere, anytime , please , please, message me , thank you so much    "
3,Found Heavy Case,Found on Saturday on 86th near Brownsburg a heavy case that must have fallen off someone’s truck. Please describe contents and we’ll get it to you.    
4,Shop vac hose,"Shop vac hose I was loading my tools after doing a job everything  made it into car except the 2.5 inch round x 6 foot long black hose I drove off leaving it behind  at the condo's on marsh and 71st  Street if you found it please return it my Shop vac is depressed text  show contact info
 thanks    "
5,LOST DOG | BLACK LAB HOUND MIX **REWARD**,"Loki has been missing since 10/18.

He is a 65 lb black lab mix with a white spot on his chest and black birthmark on his tongue.

He was not wearing his collar, but is microchipped.

***REWARD***    "
6,lost blue hearing aid,"Lost single small blue hearing aid.  In/around my path from Midtown up north Keystone ave:  Aldi, Meijer, Goodwill, Target, Old Navy, Broad Ripple McDonald's, Walmart, Trader Joes.  Yeah, needle in a haystack.  At least it's bright blue!    "
7,Lost Diamond and Sapphire Ring REWARD,REWARD ** Art Deco setting with pear-shaped orange sapphire with 2 emerald cut diamonds on both sides; 18k white gold.    
8,Found female kitten,I found this beautiful kitten. I can tell she belonged to somebody because of her demeanor..she's very loveable and terrified of the outdoors. If nobody reaches out then I will give her to someone. I would love to keep her but I have a dog and 2 cats already and she's scared of my dog. Please reach out to me with any responses.    
9,Lost white and orange Male Cat,"Missing male cat on 11/9/21, mostly white with orange spots on his head and tail. He is about 4 years old. Fixed. Not chipped. Inside cat.
I have been out looking everyday multiple times a day. When he has slipped out before he came back with in minutes. I believe someone took himin to keep him safe. (Or I hope so)
Please if you see him or have him contact me! His fur family misses him along with his tiny humans. 
Thank you!    "
10,Bloodhound and Pet Detective find missing pets,"Bloodhound and Pet Detective find missing pets.
60% Success Rate.
Text or call Jim Berns Pet Detective.
Day or night.    "
11,1976 University of Tennessee Ring,"LOST in 1977

1976 University of Tennessee class ring.

Near 48th and Shadeland Ave. when lost. Playing with dog and must have come off my finger.

I know this is a long shot but thought I would throw it out there. Check or forward to PAWN SHOPS.

Finders fee or REWARD for return. PLEASE - no scammer or spammers. You will need to describe ring in detail and what is inside the ring band. Once returned, $$$ will be sent to you. NO PAYMENT IN ADVANCE!!

PLEASE - no scammer or spammers.    "
12,LOST - 1976 University of Tennessee Ring,"LOST in 1977 

1976 University of Tennessee class ring.

Lived near 48th and Shadeland Ave. when lost. Playing with dog and must have come off my finger. 

I know this is a long shot but thought I would throw it out there. May even find it at a Pawn Shop.

Finders fee or REWARD for return. PLEASE - no scammer or spammers. You will need to describe ring in detail and what is inside the ring band. Once returned, $$$ will be sent to you. NO PAYMENT IN ADVANCE!! 

PLEASE - no scammer or spammers.    "
13,Lost cell phone $ REWARD,"Please help. I lost my Samsung Galaxy in a black case, near Monument Circle. Return to receive cash reward.  Thank you!    "
